COUNTRY CODE,YEAR,OOPEXP_PC_HEALTHXP,OOPEXP_USD_CAP,OOPEXP_PC_GDP,VOLUNTARY_PC_GDP,COMPULSORY_PC_GDP,TOT_USD_CAP,COMPULSORY_PC_HEALTHXP,TOT_PC_GDP,VOLUNTARY_USD_CAP,VOLUNTARY_PC_HEALTHXP,COMPULSORY_USD_CAP
AUS,1989,16.098,176.613,0.985,1.995,4.125,1097.124,67.405,6.12,357.607,32.595,739.517
AUS,1988,15.721,161.565,0.954,1.93,4.137,1027.686,68.188,6.067,326.931,31.812,700.755
AUS,1987,14.791,140.866,0.904,1.829,4.282,952.399,70.07,6.112,285.049,29.93,667.35
JPN,2015,12.948,584.828,1.409,1.733,9.153,4516.862,84.083,10.886,718.95,15.917,3797.912
JPN,2016,12.854,552.37,1.393,1.73,9.105,4297.128,84.037,10.835,685.942,15.963,3611.186
JPN,2013,12.701,547.203,1.371,1.698,9.093,4308.252,84.261,10.792,678.08,15.739,3630.172
JPN,2014,12.87,557.047,1.394,1.72,9.112,4328.364,84.118,10.832,687.437,15.882,3640.927
JPN,2011,13.122,490.854,1.393,1.726,8.891,3740.756,83.741,10.617,608.224,16.259,3132.532
JPN,2012,12.972,515.101,1.4,1.734,9.057,3970.765,83.931,10.791,638.075,16.069,3332.691
JPN,2010,14.57,461.811,1.334,1.655,7.502,3169.521,81.927,9.157,572.82,18.073,2596.701
JPN,2019,,,,1.739,9.316,4822.812,84.266,11.055,758.834,15.734,4063.978
AUS,1993,17.974,246.76,1.232,2.354,4.502,1372.854,65.663,6.857,471.394,34.337,901.46
AUS,1992,17.861,233.118,1.222,2.336,4.504,1305.198,65.845,6.841,445.787,34.155,859.411
JPN,2017,12.655,555.919,1.366,1.704,9.092,4392.905,84.215,10.796,693.434,15.785,3699.471
AUS,1991,17.541,216.468,1.189,2.302,4.474,1234.053,66.024,6.776,419.285,33.976,814.768
JPN,2018,12.748,574.244,1.396,1.743,9.211,4504.425,84.089,10.953,716.69,15.911,3787.735
AUS,1990,16.987,198.063,1.101,2.191,4.289,1165.964,66.189,6.48,394.228,33.811,771.736
AUS,1997,17.87,308.676,1.267,2.316,4.772,1727.316,67.32,7.088,564.485,32.68,1162.831
AUS,1996,17.879,293.664,1.265,2.418,4.656,1642.531,65.818,7.074,561.451,34.182,1081.08
AUS,1995,16.89,259.602,1.171,2.332,4.602,1537.047,66.365,6.935,516.978,33.635,1020.069
AUS,1994,18.059,262.612,1.244,2.375,4.514,1454.173,65.53,6.889,501.253,34.47,952.92
AUS,1999,19.768,386.848,1.449,2.221,5.109,1956.897,69.698,7.331,592.979,30.302,1363.918
AUS,1998,21.058,387.179,1.525,2.334,4.91,1838.656,67.778,7.244,592.452,32.222,1246.204
AUS,2011,19.172,730.301,1.638,2.63,5.912,3809.112,69.214,8.542,1172.692,30.786,2636.42
AUS,2010,19.749,710.008,1.665,2.644,5.787,3595.111,68.636,8.431,1127.557,31.364,2467.554
AUS,2015,18.948,830.095,1.767,3.213,6.111,4380.985,65.541,9.323,1509.64,34.459,2871.345
AUS,2014,19.611,821.773,1.772,3.206,5.83,4190.269,64.522,9.036,1486.636,35.478,2703.633
AUS,2013,19.708,806.565,1.727,3.083,5.678,4092.619,64.807,8.761,1440.312,35.193,2652.307
AUS,2012,19.934,768.307,1.729,2.816,5.859,3854.19,67.536,8.676,1251.232,32.464,2602.958
AUS,2019,,,,3.045,6.289,5187.419,67.378,9.334,1692.236,32.622,3495.183
AUS,2018,,,,3.092,6.193,4964.533,66.7,9.285,1653.202,33.3,3311.331
AUS,2017,17.942,845.174,1.652,3.086,6.12,4710.617,66.478,9.205,1579.072,33.522,3131.545
AUS,2016,18.338,844.63,1.687,3.122,6.078,4605.95,66.064,9.201,1563.056,33.936,3042.894
NLD,1972,,,,1.756,3.829,308.458,68.56,5.585,96.979,31.44,211.479
NLD,1974,,,,1.728,4.093,398.295,70.321,5.82,118.241,29.687,280.085
NLD,1973,,,,1.735,3.89,341.631,69.151,5.625,105.39,30.849,236.241
NLD,1976,,,,1.708,4.389,491.661,71.985,6.097,137.741,28.015,353.92
NLD,1975,,,,1.729,4.43,452.47,71.925,6.159,127.03,28.075,325.44
NLD,1978,,,,1.716,4.585,604.59,72.77,6.301,164.632,27.23,439.959
NLD,1977,,,,1.702,4.483,540.992,72.477,6.185,148.897,27.523,392.095
GRC,2008,32.208,858.5,2.843,3.06,5.768,2665.467,65.336,8.828,923.966,34.664,1741.501
NLD,1979,,,,1.785,4.676,673.721,72.373,6.46,186.131,27.627,487.59
GRC,2009,29.503,809.012,2.775,2.979,6.427,2742.137,68.32,9.407,868.445,31.67,1873.431
GRC,2006,36.045,829.535,2.977,3.171,5.088,2301.38,61.609,8.259,883.533,38.391,1417.847
GRC,2007,34.223,829.765,2.874,3.079,5.319,2424.557,63.338,8.398,888.899,36.662,1535.657
GRC,2000,,,,2.78,4.464,1417.745,61.626,7.243,544.039,38.374,873.706
GRC,2001,,,,2.939,5.049,1700.042,63.206,7.988,625.507,36.794,1074.535
GRC,2004,38.961,818.477,3.153,3.349,4.745,2100.753,58.624,8.094,869.209,41.376,1231.544
GRC,2005,36.875,808.893,3.158,3.354,5.21,2193.594,60.834,8.565,859.136,39.166,1334.458
GRC,2002,,,,3.256,4.978,1951.129,60.458,8.234,771.521,39.542,1179.607
GRC,2003,37.9,776.364,3.202,3.391,5.058,2048.478,59.864,8.449,822.174,40.136,1226.304
GBR,2009,12.279,407.077,1.23,1.757,8.259,3315.24,82.457,10.016,581.59,17.543,2733.651
GBR,2008,13.013,421.845,1.193,1.716,7.45,3241.823,81.275,9.166,607.047,18.725,2634.776
GBR,2007,14.301,444.751,1.269,1.765,7.108,3109.919,80.111,8.873,618.52,19.889,2491.399
GBR,2006,12.641,375.371,1.099,1.594,7.104,2969.568,81.676,8.697,544.137,18.324,2425.432
NLD,1981,,,,1.741,4.863,807.518,73.632,6.604,212.926,26.368,594.592
GBR,2005,13.311,369.068,1.136,1.629,6.905,2772.707,80.912,8.534,529.263,19.088,2243.444
NLD,1980,,,,1.746,4.768,749.974,73.193,6.514,201.077,26.811,548.927
GBR,2004,14.589,403.947,1.238,1.712,6.772,2768.926,79.822,8.484,558.716,20.178,2210.21
NLD,1983,,,,1.8,5.029,906.184,73.647,6.829,238.811,26.353,667.373
GBR,2003,15.84,396.918,1.301,1.793,6.419,2505.796,78.169,8.212,547.032,21.831,1958.764
NLD,1982,,,,1.756,5.073,865.102,74.29,6.829,222.42,25.71,642.683
GBR,2002,16.646,396.786,1.336,1.837,6.188,2383.648,77.113,8.024,545.55,22.887,1838.098
NLD,1985,,,,1.75,4.794,976.592,73.255,6.544,261.187,26.745,715.405
GBR,2001,17.276,368.777,1.323,1.825,5.83,2134.564,76.163,7.655,508.821,23.837,1625.743
NLD,1984,,,,1.722,4.833,940.405,73.732,6.555,247.024,26.268,693.382
GBR,2000,17.093,327.453,1.245,1.719,5.565,1915.689,76.398,7.284,452.141,23.602,1463.548
NLD,1987,,,,1.94,4.798,1086.296,71.202,6.738,312.829,28.798,773.466
NLD,1986,,,,1.944,4.687,1034.588,70.683,6.63,303.306,29.317,731.283
NLD,1989,,,,1.917,4.917,1268.411,71.952,6.834,355.759,28.048,912.654
NLD,1988,,,,1.959,4.707,1145.372,70.612,6.667,336.599,29.388,808.773
GRC,2019,,,,3.171,4.615,2383.628,59.235,7.791,970.164,40.701,1411.934
GRC,2017,35.085,785.393,2.795,3.135,4.815,2238.575,60.456,7.965,881.205,39.365,1353.358
GRC,2018,36.439,825.664,2.811,3.172,4.533,2265.899,58.749,7.715,931.622,41.115,1331.187
GRC,2011,31.158,713.402,2.813,3.08,5.932,2289.591,65.703,9.028,780.998,34.111,1504.33
GRC,2012,30.449,653.294,2.677,2.967,5.812,2145.538,66.105,8.792,724.097,33.749,1418.316
GRC,2010,28.259,736.276,2.689,2.957,6.557,2605.47,68.906,9.516,809.642,31.075,1795.323
GRC,2015,36.763,765.181,2.947,3.269,4.616,2081.377,57.584,8.017,848.619,40.772,1198.535
GRC,2016,34.886,774.743,2.866,3.204,4.989,2220.792,60.736,8.215,866.193,39.004,1348.827
GRC,2013,34.077,704.432,2.835,3.117,5.133,2067.17,61.701,8.319,774.546,37.469,1275.472
GRC,2014,37.099,748.119,2.912,3.22,4.527,2016.561,57.673,7.85,827.304,41.025,1163.007
NLD,1990,,,,2.014,4.978,1398.762,71.197,6.992,402.89,28.803,995.871
NLD,1992,,,,1.744,5.632,1586.578,76.356,7.376,375.128,23.644,1211.45
NLD,1991,,,,1.95,5.219,1499.45,72.797,7.169,407.894,27.203,1091.556
NLD,1994,,,,1.735,5.624,1688.54,76.429,7.359,398.002,23.571,1290.538
AUS,2000,20.997,452.207,1.599,2.408,5.206,2153.657,68.379,7.614,681.009,31.621,1472.647
NLD,1993,,,,1.696,5.78,1647.989,77.319,7.476,373.784,22.681,1274.204
NLD,1996,,,,2.171,5.042,1821.367,69.904,7.213,548.159,30.096,1273.208
NLD,1995,,,,1.79,5.48,1747.121,75.377,7.27,430.187,24.623,1316.935
NLD,1998,11.172,247.537,0.871,2.397,5.398,2215.597,69.25,7.796,681.3,30.75,1534.297
AUS,2004,19.219,541.335,1.559,2.567,5.542,2816.707,68.345,8.109,891.634,31.655,1925.073
NLD,1997,,,,2.026,4.999,1881.963,71.159,7.026,542.748,28.839,1339.182
AUS,2003,19.148,493.458,1.514,2.525,5.379,2577.124,68.05,7.904,823.39,31.95,1753.734
AUS,2002,19.92,494.223,1.572,2.476,5.417,2481.046,68.626,7.893,778.412,31.374,1702.634
NLD,1999,11.106,263.439,0.869,2.461,5.364,2372.005,68.554,7.825,745.902,31.446,1626.103
AUS,2001,20.439,467.919,1.573,2.482,5.215,2289.34,67.756,7.696,738.171,32.244,1551.17
AUS,2008,19.042,637.921,1.572,2.559,5.696,3350.144,68.998,8.256,1038.599,31.002,2311.545
AUS,2007,19.003,607.639,1.533,2.476,5.591,3197.667,69.308,8.068,981.442,30.692,2216.225
AUS,2006,19.749,591.511,1.578,2.532,5.457,2995.079,68.307,7.989,949.22,31.693,2045.859
AUS,2005,19.643,564.235,1.569,2.525,5.465,2872.44,68.402,7.99,907.628,31.598,1964.812
AUS,2009,19.053,651.966,1.632,2.629,5.934,3421.888,69.296,8.563,1050.658,30.704,2371.229
LUX,2016,10.744,522.622,0.558,0.783,4.343,4864.116,83.608,5.195,733.132,15.072,4066.778
LUX,2017,10.661,534.407,0.561,0.771,4.414,5012.604,83.952,5.258,735.219,14.667,4208.202
LUX,2018,10.436,544.354,0.552,0.767,4.444,5216.284,84.076,5.286,756.956,14.511,4385.658
LUX,2019,,,,0.76,4.56,5558.322,84.505,5.397,782.746,14.082,4697.036
LUX,2010,10.233,575.377,0.719,1.061,5.97,5622.639,84.914,7.031,848.217,15.086,4774.423
LUX,2011,10.881,525.591,0.665,1.029,5.083,4830.517,83.157,6.112,813.612,16.843,4016.905
LUX,2012,11.47,507.474,0.64,0.872,4.626,4424.504,82.849,5.584,691.297,15.624,3665.667
LUX,2013,11.199,519.276,0.619,0.854,4.593,4636.665,83.091,5.528,716.171,15.446,3852.67
LUX,2014,11.073,521.188,0.602,0.822,4.539,4707.036,83.476,5.437,711.996,15.126,3929.263
LUX,2015,10.715,502.913,0.566,0.79,4.42,4693.501,83.659,5.284,701.99,14.957,3926.532
LUX,2005,12.925,630.942,0.929,1.208,5.977,4881.401,83.192,7.184,820.466,16.808,4060.933
LUX,2006,13.374,688.792,0.897,1.155,5.555,5150.267,82.786,6.71,886.548,17.214,4263.719
LUX,2007,10.308,524.136,0.643,0.985,5.249,5084.628,84.192,6.234,803.755,15.808,4280.875
LUX,2008,10.062,546.496,0.658,0.828,5.709,5431.112,87.329,6.538,688.185,12.671,4742.93
LUX,2009,9.896,566.406,0.726,1.046,6.294,5723.837,85.748,7.34,815.752,14.252,4908.085
IDN,2015,40.784,,1.228,1.785,1.227,,40.739,3.012,,59.261,
IDN,2014,42.517,,1.325,1.993,1.124,,36.057,3.117,,63.943,
IDN,2013,49.323,,1.46,2.015,0.946,,31.943,2.961,,68.057,
IDN,2012,53.168,,1.543,2.017,0.886,,30.511,2.903,,69.489,
LUX,2000,14.251,485.915,0.841,1.064,4.837,3409.737,81.971,5.901,614.723,18.028,2795.012
GBR,2019,,,,2.278,7.976,4653.058,77.788,10.254,1033.549,22.212,3619.508
LUX,2001,13.659,507.098,0.876,1.107,5.304,3712.502,82.738,6.41,640.843,17.262,3071.659
GBR,2018,16.708,716.753,1.67,2.221,7.776,4289.787,77.779,9.997,953.239,22.221,3336.548
LUX,2002,13.864,589.037,0.934,1.143,5.595,4248.808,83.039,6.738,720.639,16.961,3528.169
IDN,2017,34.148,,1.021,1.521,1.467,,49.103,2.988,,50.897,
